"Time","C1_39.05nM","C2_78.12nM","C3_156.2nM","C4_312.5nM","C5_625nM","C6_1250nM","C7_2500nM","C8_5000nM"
138.74,0.527313,1.64841,3.40131,5.11673,13.8525,27.9375,46.9194,77.0891
138.84,0.520661,1.64566,3.41144,5.11008,13.8626,27.9449,46.951,77.1187
138.94,0.532012,1.64566,3.41614,5.11166,13.8743,27.9621,46.9948,77.1547
139.04,0.520295,1.63394,3.41889,5.10971,13.8701,27.9844,47.0026,77.1867
139.14,0.512848,1.62418,3.41144,5.11203,13.8771,27.9914,47.0241,77.2347
139.24,0.518707,1.62729,3.4173,5.10812,13.89,28.014,47.0663,77.2769
139.34,0.51364,1.61752,3.422,5.11478,13.8915,28.0176,47.0827,77.3031
139.44,0.500764,1.60739,3.41223,5.10501,13.8868,28.0226,47.112,77.3226
139.54,0.500764,1.59763,3.40247,5.09683,13.8966,28.0422,47.1265,77.3469
139.64,0.506194,1.61752,3.4173,5.11203,13.9114,28.0695,47.1678,77.4027
139.74,0.49411,1.60776,3.41223,5.11203,13.9259,28.0883,47.1921,77.434
139.84,0.503875,1.60074,3.40912,5.11478,13.9326,28.091,47.2116,77.4633
139.94,0.495698,1.59256,3.40912,5.1066,13.9423,28.1152,47.2378,77.4992
140.04,0.498015,1.59488,3.41144,5.10422,13.9544,28.1371,47.2839,77.5355
140.14,0.502716,1.60934,3.40912,5.11166,13.9716,28.1465,47.2983,77.5812
140.24,0.505036,1.6066,3.41303,5.11868,13.9806,28.1699,47.3268,77.6176
140.34,0.50113,1.60971,3.4212,5.12686,13.9837,28.1781,47.3464,77.655
140.44,0.505828,1.60971,3.43567,5.12143,14.0032,28.2023,47.369,77.6937
140.54,0.505831,1.6027,3.41925,5.10032,13.9943,28.2004,47.3913,77.7211
140.64,0.51053,1.60739,3.41693,5.10776,14.0087,28.2363,47.4272,77.7715
140.74,0.51596,1.61441,3.43683,5.11478,14.0255,28.266,47.4569,77.8179
140.84,0.503876,1.60464,3.44153,5.10501,14.0208,28.2805,47.4683,77.8441
140.94,0.500763,1.60971,3.43842,5.11203,14.0236,28.2953,47.4979,77.8832
141.04,0.490998,1.59763,3.43372,5.09995,14.0369,28.3047,47.5171,77.9105
141.14,0.507781,1.60464,3.43371,5.11362,14.0587,28.3215,47.5534,77.9535
141.24,0.501131,1.59329,3.43683,5.10226,14.0571,28.3312,47.5749,77.9761
141.34,0.515596,1.60544,3.45795,5.11673,14.0693,28.3555,47.6022,78.0168
141.44,0.515593,1.61246,3.46496,5.1265,14.0927,28.3723,47.6432,78.0629
141.54,0.52536,1.61246,3.47162,5.1265,14.0997,28.4035,47.6628,78.1086
141.64,0.515595,1.6058,3.45557,5.12961,14.0981,28.4066,47.6776,78.148
141.74,0.515595,1.62027,3.46301,5.14407,14.1056,28.4261,47.7116,78.182
141.84,0.53006,1.62186,3.46771,5.1683,14.1154,28.4434,47.7456,78.2277
141.94,0.527679,1.61948,3.4798,5.17062,14.1204,28.4672,47.7694,78.264
142.04,0.518343,1.61716,3.46301,5.16831,14.115,28.4746,47.7769,78.3
142.14,0.522246,1.61948,3.46966,5.18393,14.1368,28.5012,47.8132,78.3461
142.24,0.517548,1.60269,3.46497,5.17923,14.1321,28.5078,47.8198,78.3676
142.34,0.522248,1.61716,3.46966,5.189,14.1415,28.5293,47.8413,78.4016
142.44,0.534331,1.62418,3.48645,5.19876,14.1583,28.5414,47.8776,78.4476
142.54,0.527313,1.62106,3.48175,5.19406,14.165,28.5441,47.9069,78.4722
142.64,0.537077,1.62613,3.4845,5.19681,14.1798,28.5637,47.9284,78.516
142.74,0.527314,1.61636,3.47473,5.1937,14.1798,28.5703,47.9577,78.5519
142.84,0.530427,1.61948,3.48956,5.20187,14.2025,28.5902,47.9901,78.5914
142.94,0.543731,1.63394,3.49426,5.21164,14.2189,28.6,48.0261,78.6285
143.04,0.543731,1.63394,3.49585,5.21792,14.2286,28.6074,48.0601,78.666
143.14,0.537446,1.62534,3.49268,5.22141,14.2298,28.6207,48.078,78.6921
143.24,0.544891,1.64175,3.50873,5.23117,14.2443,28.6379,48.1171,78.7406
143.34,0.544892,1.64175,3.50403,5.2308,14.2443,28.6445,48.1382,78.7668
143.44,0.54959,1.64645,3.50873,5.24057,14.2556,28.6758,48.1792,78.8078
143.54,0.566375,1.66324,3.51575,5.26242,14.2677,28.6926,48.2057,78.8558
143.64,0.559724,1.65659,3.51416,5.25851,14.2759,28.7007,48.2284,78.8785
143.74,0.569122,1.66599,3.51654,5.27963,14.29,28.7227,48.2671,78.9203
143.84,0.566376,1.66013,3.51379,5.28665,14.297,28.7414,48.2956,78.9535
143.94,0.576141,1.65073,3.51379,5.29172,14.3068,28.7512,48.3249,78.9828
144.04,0.579254,1.64682,3.52667,5.28781,14.3196,28.7738,48.3593,79.0199
144.14,0.583952,1.66129,3.53137,5.29916,14.331,28.798,48.3835,79.0726
144.24,0.579255,1.64841,3.53137,5.29446,14.3263,28.8047,48.403,79.0922
144.34,0.576936,1.64841,3.53607,5.30893,14.3408,28.8164,48.4272,79.1281
144.44,0.58084,1.65543,3.55286,5.32101,14.3431,28.843,48.4557,79.1675
144.54,0.576141,1.66519,3.55286,5.32376,14.3458,28.8527,48.4948,79.216
144.64,0.576144,1.65073,3.54975,5.32376,14.3458,28.8625,48.5046,79.2445
144.74,0.590608,1.66794,3.56458,5.34995,14.372,28.8918,48.5288,79.3078
144.84,0.597626,1.68472,3.57629,5.36362,14.3841,28.9133,48.5671,79.3363
144.94,0.592926,1.68472,3.57629,5.36868,14.4013,28.923,48.5866,79.3703
145.04,0.585907,1.69449,3.58606,5.36868,14.4134,28.9426,48.6159,79.4066
145.14,0.576143,1.68002,3.5763,5.37845,14.4064,28.9523,48.6276,79.4214
145.24,0.598785,1.69565,3.59424,5.39133,14.4259,28.9847,48.66,79.4683
145.34,0.590607,1.69058,3.58215,5.39133,14.4161,29.0012,48.6843,79.4973
145.44,0.585907,1.69724,3.58881,5.39407,14.4259,29.0207,48.7057,79.5355
145.54,0.590606,1.69723,3.58881,5.40854,14.4376,29.0449,48.7397,79.5726
145.64,0.607391,1.70425,3.60559,5.42728,14.4474,29.0617,48.7663,79.6234
145.74,0.597626,1.69955,3.60559,5.42728,14.454,29.0832,48.7811,79.6449
145.84,0.597625,1.70425,3.61536,5.43704,14.4591,29.1027,48.7956,79.684
145.94,0.586274,1.69449,3.6087,5.44016,14.4622,29.1156,48.8132,79.7015
146.04,0.583953,1.70425,3.62317,5.45151,14.4767,29.1398,48.8495,79.7445
146.14,0.593719,1.70425,3.62317,5.45657,14.4818,29.1594,48.862,79.7738
146.24,0.593719,1.69955,3.61847,5.45187,14.4845,29.1563,48.8932,79.8082
146.34,0.590607,1.7023,3.61145,5.44485,14.4962,29.173,48.9128,79.8422
146.44,0.590606,1.707,3.6228,5.45932,14.5107,29.1973,48.9468,79.8809
146.54,0.586273,1.71402,3.61847,5.46634,14.5208,29.2074,48.9686,79.9195
146.64,0.595673,1.71402,3.62317,5.4761,14.5353,29.2219,48.9929,79.9535
146.74,0.595673,1.72379,3.63293,5.4761,14.5419,29.2414,49.0222,79.9828
146.84,0.595673,1.72379,3.64465,5.48782,14.5372,29.2582,49.0534,80.0074
146.94,0.610137,1.72849,3.64465,5.48782,14.5517,29.2754,49.0745,80.0461
147.04,0.617156,1.74527,3.65442,5.49759,14.5782,29.3117,49.1061,80.0726
147.14,0.604279,1.74057,3.65131,5.49289,14.5735,29.3117,49.1276,80.1086
147.24,0.60428,1.73825,3.64154,5.49722,14.5712,29.3281,49.1616,80.1398
147.34,0.611298,1.74527,3.65832,5.49954,14.59,29.3547,49.1835,80.1761
147.44,0.60971,1.75504,3.66144,5.50772,14.6028,29.3773,49.2155,80.2035
147.54,0.607391,1.75033,3.66614,5.51517,14.6271,29.3918,49.2565,80.2496
147.64,0.607392,1.74332,3.6712,5.51205,14.6271,29.4113,49.2761,80.2836
147.74,0.612092,1.75974,3.67358,5.52182,14.6513,29.4258,49.3003,80.3293
147.84,0.619111,1.76205,3.68762,5.52884,14.6681,29.4445,49.3386,80.3656
147.94,0.617523,1.76791,3.7005,5.53702,14.681,29.4641,49.3612,80.398
148.04,0.624969,1.7695,3.71497,5.54446,14.6826,29.4836,49.3952,80.4387
148.14,0.629669,1.77927,3.71497,5.54916,14.6943,29.5078,49.4312,80.4797
148.24,0.630036,1.77963,3.70831,5.56125,14.6997,29.5179,49.4464,80.5093
148.34,0.634736,1.7894,3.71301,5.5726,14.7072,29.5441,49.4636,80.5551
148.44,0.644134,1.78708,3.72748,5.57571,14.7216,29.5586,49.4995,80.5891
148.54,0.653472,1.80075,3.7345,5.59408,14.7482,29.5883,49.5261,80.6304
148.64,0.656219,1.79605,3.74426,5.58469,14.7579,29.6125,49.5554,80.6644
148.74,0.656219,1.80582,3.74426,5.58743,14.7677,29.634,49.5847,80.7054
148.84,0.653107,1.81558,3.75287,5.59409,14.7747,29.6406,49.6061,80.7297
148.94,0.648407,1.81088,3.75793,5.59445,14.7677,29.6586,49.6354,80.766
149.04,0.651519,1.81674,3.75635,5.60031,14.7806,29.673,49.6581,80.7886
149.14,0.654267,1.80661,3.73761,5.60306,14.7833,29.6808,49.6694,80.8031
149.24,0.658966,1.80191,3.73529,5.60776,14.7978,29.7051,49.689,80.8469
149.34,0.65152,1.79214,3.74231,5.61203,14.8146,29.7238,49.7155,80.8734
149.44,0.644501,1.80386,3.75208,5.61478,14.8243,29.7433,49.7468,80.9144
149.54,0.641388,1.80386,3.75208,5.62454,14.831,29.7531,49.7565,80.9535
149.64,0.63669,1.7941,3.74701,5.62454,14.8165,29.7629,49.7663,80.975
149.74,0.651153,1.80386,3.77826,5.63589,14.8408,29.7988,49.8054,81.0219
149.84,0.648407,1.80386,3.77551,5.63821,14.838,29.8058,49.8268,81.0746
149.94,0.651519,1.80698,3.77393,5.63663,14.8579,29.8285,49.8542,81.1168
150.04,0.656219,1.82144,3.77161,5.64096,14.8654,29.8527,49.8807,81.1574
150.14,0.661286,1.82144,3.77161,5.64603,14.872,29.8676,49.903,81.1937
150.24,0.658966,1.82303,3.77631,5.65579,14.872,29.877,49.939,81.2375
150.34,0.65622,1.82535,3.77356,5.65775,14.8888,29.8984,49.9753,81.2707
150.44,0.659332,1.82846,3.77667,5.65775,14.9017,29.9234,50.0096,81.3004
150.54,0.660918,1.83316,3.78802,5.66751,14.9161,29.9355,50.0436,81.3441
150.64,0.665986,1.84293,3.78644,5.66751,14.9279,29.9574,50.0632,81.3754
150.74,0.670686,1.84763,3.8056,5.67728,14.9326,29.9766,50.0874,81.4191
150.84,0.677702,1.85464,3.79974,5.67728,14.9446,29.9933,50.121,81.4574
150.94,0.679658,1.84488,3.78839,5.67728,14.9376,29.9933,50.1432,81.4769
151.04,0.674957,1.85464,3.80286,5.68704,14.9474,30.0129,50.1745,81.5277
151.14,0.677704,1.84995,3.80286,5.68704,14.9474,30.0226,50.2007,81.5523
151.24,0.677704,1.85269,3.80286,5.69681,14.9572,30.0375,50.2155,81.5844
151.34,0.673003,1.84958,3.80286,5.69681,14.9767,30.0422,50.2468,81.6398
151.44,0.656221,1.83511,3.79309,5.69681,14.9767,30.0519,50.2663,81.6664
151.54,0.659332,1.84799,3.80597,5.70499,14.9915,30.0812,50.2987,81.7105
151.64,0.664033,1.84293,3.8009,5.68979,14.9962,30.091,50.3151,81.7347
151.74,0.678498,1.84763,3.80249,5.69955,15.0204,30.1074,50.3491,81.7609
151.84,0.682404,1.84995,3.80481,5.70657,15.0275,30.134,50.3854,81.7972
151.94,0.677704,1.84293,3.81653,5.71829,15.0372,30.1535,50.412,81.8363
152.04,0.676118,1.83628,3.80988,5.71164,15.0403,30.1617,50.4276,81.8609
152.14,0.673798,1.84097,3.80988,5.72141,15.0548,30.1789,50.4663,81.8851
152.24,0.678498,1.84567,3.81226,5.72379,15.0693,30.2051,50.4948,81.9191
152.34,0.682404,1.86246,3.82629,5.74759,15.0829,30.2285,50.5241,81.9672
152.44,0.677704,1.86246,3.82629,5.75735,15.09,30.2433,50.5436,81.9965
152.54,0.675752,1.84763,3.82434,5.74564,15.0978,30.2512,50.5632,82.0289
152.64,0.675751,1.85464,3.81458,5.7554,15.1075,30.2629,50.5827,82.0629
152.74,0.671052,1.84995,3.82434,5.7554,15.1173,30.2824,50.6089,82.0922
152.84,0.668733,1.84763,3.82434,5.76987,15.1318,30.3066,50.6401,82.1281
152.94,0.688628,1.85776,3.82745,5.78,15.1517,30.3265,50.66,82.1773
153.04,0.693328,1.86246,3.83215,5.7847,15.1661,30.3363,50.6843,82.2133
153.14,0.68045,1.85269,3.83215,5.7847,15.1681,30.341,50.694,82.2426
153.24,0.685516,1.86246,3.83685,5.7847,15.1732,30.3605,50.7136,82.2621
153.34,0.685517,1.86246,3.84387,5.79446,15.1759,30.3703,50.735,82.2933
153.44,0.690215,1.87186,3.85364,5.79916,15.2001,30.3945,50.769,82.3371
153.54,0.68747,1.87143,3.84857,5.79642,15.2025,30.4113,50.7858,82.3636
153.64,0.692535,1.86441,3.86536,5.80814,15.2052,30.4328,50.8007,82.3949
153.74,0.685516,1.86441,3.86536,5.80814,15.2119,30.4395,50.8151,82.4387
153.84,0.685516,1.86441,3.85089,5.80814,15.2189,30.4641,50.8444,82.4672
153.94,0.685516,1.86441,3.85364,5.80814,15.2286,30.4738,50.8737,82.5062
154.04,0.678864,1.86753,3.85675,5.81125,15.2271,30.4867,50.8885,82.5406
154.14,0.68045,1.87222,3.86145,5.81595,15.2345,30.4984,50.9225,82.5844
154.24,0.675749,1.87222,3.86145,5.82571,15.2509,30.5207,50.9421,82.6136
154.34,0.661286,1.85934,3.86145,5.82101,15.2462,30.5305,50.9636,82.6285
154.44,0.658965,1.85934,3.86615,5.8187,15.2607,30.5547,51.0073,82.6769
154.54,0.677703,1.86166,3.87317,5.82571,15.2775,30.5734,51.0339,82.7133
154.64,0.673003,1.85464,3.87317,5.82571,15.2845,30.593,51.0554,82.7347
154.74,0.656219,1.84488,3.87006,5.8226,15.2872,30.6027,51.0749,82.764
154.84,0.656219,1.84488,3.86536,5.8179,15.297,30.6223,51.0944,82.7953
154.94,0.662872,1.84488,3.86536,5.8179,15.3036,30.632,51.1257,82.8293
155.04,0.651521,1.83353,3.86847,5.82102,15.3021,30.6469,51.1385,82.8687
155.14,0.656219,1.83121,3.87317,5.82571,15.3118,30.6613,51.1694,82.8949
155.24,0.656218,1.83121,3.87317,5.83548,15.3263,30.6664,51.1843,82.9242
155.34,0.646455,1.82144,3.8634,5.82571,15.3263,30.6691,51.2057,82.9437
155.44,0.660918,1.82614,3.87982,5.83041,15.3408,30.6934,51.2429,82.9828
155.54,0.667937,1.83005,3.88684,5.8472,15.3544,30.7101,51.2741,83.0238
155.64,0.667937,1.82535,3.88684,5.8472,15.3497,30.7219,51.2925,83.0531
155.74,0.65152,1.82339,3.87042,5.8472,15.3575,30.7297,51.3182,83.0726
155.84,0.649201,1.82809,3.87787,5.8519,15.3673,30.7441,51.3538,83.1066
155.94,0.656219,1.83041,3.89465,5.85892,15.3771,30.7707,51.3874,83.1429
156.04,0.646455,1.81363,3.88489,5.85892,15.3673,30.7676,51.4069,83.1594
156.14,0.656218,1.81363,3.89154,5.85422,15.3743,30.7844,51.4335,83.2054
156.24,0.64334,1.80386,3.88214,5.8472,15.3673,30.7875,51.4362,83.2152
156.34,0.628876,1.80386,3.86536,5.83743,15.3673,30.7922,51.446,83.2203
156.44,0.628876,1.80075,3.86536,5.8472,15.3771,30.8117,51.485,83.2445
156.54,0.628876,1.79605,3.86536,5.85696,15.3868,30.8281,51.5261,83.2738
156.64,0.622224,1.7894,3.86536,5.85031,15.3868,30.8265,51.5487,83.3226
156.74,0.636687,1.7941,3.86536,5.86478,15.3966,30.8527,51.5749,83.3636
156.84,0.626923,1.77963,3.86536,5.86166,15.3966,30.8625,51.5944,83.3879
156.94,0.626922,1.77731,3.86536,5.87143,15.4064,30.877,51.6187,83.4437
157.04,0.626922,1.78122,3.87512,5.88156,15.4228,30.9035,51.6452,83.4847
157.14,0.626923,1.77652,3.88684,5.89291,15.4349,30.9133,51.6667,83.5305
157.24,0.626922,1.77652,3.88684,5.88821,15.4376,30.9348,51.6929,83.5668
157.34,0.630036,1.76987,3.88019,5.87686,15.4376,30.9379,51.701,83.5945
157.44,0.634734,1.77457,3.88995,5.87454,15.4474,30.9523,51.7253,83.6429
157.54,0.631622,1.76987,3.88293,5.88626,15.4572,30.9672,51.7565,83.6769
157.64,0.626922,1.77261,3.88959,5.88626,15.4669,30.9699,51.7761,83.7152
157.74,0.617158,1.76755,3.87982,5.89096,15.4669,30.9746,51.8003,83.7394
157.84,0.626921,1.77457,3.88684,5.90775,15.4786,31.0031,51.8339,83.7758
157.94,0.617158,1.77457,3.88684,5.90775,15.4884,31.0031,51.8366,83.8004
158.04,0.620269,1.77457,3.88995,5.90774,15.4982,31.0258,51.8643,83.8375
158.14,0.624969,1.77457,3.89465,5.91751,15.5032,31.05,51.8835,83.8734
158.24,0.624968,1.77457,3.90442,5.92258,15.506,31.0598,51.9097,83.9074
158.34,0.623016,1.77261,3.888,5.89914,15.504,31.0578,51.9128,83.9418
158.44,0.623016,1.76791,3.88098,5.90189,15.5138,31.0676,51.944,83.973
158.54,0.614838,1.75583,3.87592,5.90347,15.5173,31.084,51.9585,84.007
158.64,0.617157,1.77457,3.88293,5.91751,15.5197,31.1008,51.9948,84.0551
158.74,0.617157,1.77927,3.88293,5.92728,15.5247,31.1203,52.0143,84.0844
158.84,0.628876,1.78159,3.8927,5.92258,15.5228,31.1301,52.0358,84.1136
158.94,0.628876,1.77457,3.88959,5.92532,15.5255,31.1496,52.0554,84.1449
159.04,0.624176,1.78433,3.88489,5.93198,15.5353,31.1613,52.08,84.1773
159.14,0.610505,1.77298,3.888,5.93039,15.5482,31.1644,52.0847,84.2094
159.24,0.615204,1.76755,3.8927,5.93509,15.5595,31.1887,52.114,84.2523
159.34,0.615205,1.76285,3.90247,5.94016,15.5548,31.1984,52.1432,84.2914
159.44,0.629668,1.77731,3.91418,5.9476,15.5693,31.2227,52.1745,84.3176
159.54,0.626923,1.77457,3.90442,5.95462,15.5782,31.2266,52.194,84.3441
159.64,0.626923,1.77457,3.90442,5.95151,15.588,31.2433,52.2233,84.3734
159.74,0.622221,1.76987,3.91418,5.95853,15.5978,31.2531,52.2612,84.3949
159.84,0.605438,1.76285,3.90442,5.94406,15.5833,31.2629,52.2811,84.4242
159.94,0.615204,1.76285,3.90131,5.94681,15.5861,31.2824,52.2956,84.4535
160.04,0.607026,1.75467,3.90131,5.94174,15.5908,31.2871,52.3151,84.4844
160.14,0.609344,1.75699,3.90833,5.95853,15.6044,31.3039,52.3511,84.5375
160.24,0.609345,1.76205,3.90363,5.96518,15.6193,31.3254,52.3827,84.5718
160.34,0.622224,1.75815,3.89972,5.97336,15.6341,31.3433,52.4147,84.6187
160.44,0.626922,1.77261,3.91418,5.98782,15.6341,31.3605,52.4479,84.6429
160.54,0.636688,1.78238,3.90948,5.99759,15.6368,31.3703,52.4706,84.684
160.64,0.617158,1.77261,3.8927,5.98312,15.6466,31.3703,52.4917,84.7004
160.74,0.626922,1.78708,3.90717,5.99057,15.6611,31.3965,52.5214,84.7297
160.84,0.617157,1.78122,3.90442,5.99289,15.6552,31.4133,52.528,84.7582
160.94,0.626922,1.77963,3.91418,5.98587,15.6732,31.4328,52.5507,84.8004
161.04,0.626922,1.79135,3.91418,5.98587,15.6876,31.4523,52.5815,84.8394
161.14,0.62497,1.77261,3.90247,5.98587,15.6876,31.4476,52.6014,84.8715
161.24,0.629672,1.78708,3.91693,5.99057,15.6974,31.4648,52.6304,84.9074
161.34,0.653473,1.80112,3.93567,6.01907,15.7189,31.5,52.6686,84.9554
161.44,0.646454,1.80386,3.93097,6.02414,15.7286,31.5148,52.705,84.9847
161.54,0.643341,1.80386,3.93372,6.02689,15.7384,31.5297,52.6999,85.016
161.64,0.638641,1.81363,3.9306,6.02689,15.7337,31.5441,52.7323,85.0453
161.74,0.650361,1.81052,3.93567,6.03354,15.7365,31.5492,52.7682,85.0746
161.84,0.648774,1.80893,3.92902,6.04172,15.756,31.5715,52.8057,85.1039
161.94,0.656219,1.82339,3.94348,6.05618,15.7657,31.591,52.8413,85.1351
162.04,0.656219,1.82339,3.94348,6.05618,15.7657,31.598,52.8581,85.1742
162.14,0.649569,1.80698,3.92707,6.04446,15.7657,31.5988,52.8905,85.184
162.24,0.658967,1.81638,3.94507,6.06088,15.7872,31.6317,52.9331,85.2394
162.34,0.662871,1.83005,3.9505,6.07297,15.797,31.6535,52.9628,85.2855
162.44,0.649568,1.81674,3.94348,6.06906,15.7982,31.6664,52.9882,85.3082
162.54,0.654266,1.82144,3.94855,6.08353,15.8095,31.6906,53.0241,85.3453
162.64,0.659332,1.83121,3.95129,6.08041,15.8146,31.7152,53.0554,85.3812
162.74,0.652314,1.82651,3.95129,6.08548,15.8243,31.7277,53.0847,85.4074
162.84,0.657014,1.82419,3.95599,6.09525,15.8341,31.7508,53.1257,85.4367
162.94,0.670684,1.83121,3.96966,6.09525,15.8458,31.7726,53.1452,85.475
163.04,0.665985,1.84097,3.96027,6.10501,15.8622,31.7875,53.1569,85.5043
163.14,0.656219,1.83121,3.95325,6.10031,15.8528,31.7902,53.1667,85.5269
163.24,0.65152,1.82809,3.95325,6.10306,15.8556,31.8039,53.1979,85.5531
163.34,0.644499,1.83316,3.95325,6.10306,15.8654,31.8117,53.2257,85.5824
163.44,0.634737,1.82339,3.95325,6.09995,15.8622,31.8168,53.2448,85.5969
163.54,0.634735,1.82339,3.95325,6.09525,15.8673,31.8293,53.2546,85.6234
163.64,0.649201,1.83981,3.95325,6.11166,15.879,31.8524,53.2956,85.6398
163.74,0.656219,1.84213,3.96301,6.11868,15.8888,31.8742,53.3511,85.6793
163.84,0.656219,1.84488,3.9599,6.11868,15.9083,31.8793,53.3874,85.7133
163.94,0.653107,1.84488,3.96497,6.12845,15.9181,31.8984,53.4089,85.7394
164.04,0.643709,1.83512,3.9505,6.11869,15.9232,31.9035,53.4432,85.766
164.14,0.636689,1.84488,3.9552,6.12375,15.9259,31.9203,53.4772,85.8
164.24,0.639802,1.84799,3.96497,6.12961,15.9357,31.9359,53.5116,85.8445
164.34,0.641388,1.84958,3.97003,6.13431,15.9572,31.957,53.5749,85.8832
164.44,0.636688,1.84018,3.96301,6.14407,15.9767,31.9672,53.6288,85.9172
164.54,0.622224,1.8234,3.95325,6.14408,15.9767,31.9719,53.6597,85.9457
164.64,0.615205,1.82339,3.95325,6.14096,15.9818,31.9816,53.7077,85.9781
164.74,0.619905,1.82809,3.9646,6.15073,15.9892,32.0059,53.7417,86.0168
164.84,0.636687,1.83041,3.96692,6.16751,16.0146,32.0226,53.7831,86.05
164.94,0.626924,1.81363,3.95246,6.15775,16.0099,32.0324,53.8007,86.057
165.04,0.625335,1.81674,3.94855,6.16592,16.0228,32.057,53.83,86.073
165.14,0.629669,1.82809,3.95325,6.1636,16.0325,32.0765,53.8347,86.1019
165.24,0.624969,1.82339,3.95325,6.17532,16.0353,32.0891,53.8511,86.1262
165.34,0.624968,1.82339,3.96301,6.17532,16.045,32.1055,53.91,86.1644
165.44,0.610506,1.82339,3.95325,6.17532,16.045,32.1008,53.9265,86.1773
165.54,0.615204,1.82339,3.9599,6.17221,16.0548,32.1125,53.9538,86.2015
165.64,0.616792,1.82809,3.9599,6.18198,16.0712,32.132,53.9819,86.2305
165.74,0.619112,1.83511,3.97199,6.189,16.088,32.1418,54.0116,86.2562
165.84,0.638641,1.84018,3.97473,6.20383,16.1075,32.1711,54.0378,86.3
165.94,0.638641,1.83316,3.9845,6.19681,16.1173,32.1777,54.0522,86.3265
166.04,0.624177,1.8234,3.97003,6.19681,16.1271,32.1848,54.0577,86.3609
166.14,0.617157,1.83005,3.96301,6.20346,16.1271,32.1945,54.0815,86.3996
166.24,0.630036,1.82846,3.97784,6.20694,16.1368,32.2172,54.1112,86.4293
166.34,0.634735,1.83316,3.97943,6.21439,16.1466,32.2316,54.1307,86.4683
166.44,0.631622,1.83316,3.97473,6.2261,16.1517,32.2512,54.155,86.5023
166.54,0.626922,1.83786,3.97943,6.2308,16.1611,32.2773,54.1812,86.5266
166.64,0.636687,1.84018,3.98645,6.24759,16.1779,32.2992,54.201,86.5695
166.74,0.626925,1.83316,3.98175,6.24289,16.1779,32.2922,54.2202,86.5961
166.84,0.641389,1.84763,3.98919,6.2601,16.2021,32.3164,54.2565,86.6398
166.94,0.645293,1.85464,4.00287,6.26401,16.2189,32.343,54.3022,86.6812
167.04,0.626131,1.84177,3.9884,6.25931,16.2158,32.343,54.3241,86.7101
167.14,0.628875,1.84213,3.99817,6.26437,16.2306,32.3742,54.3581,86.7562
167.24,0.631989,1.82846,3.99658,6.26047,16.2337,32.3742,54.3663,86.7839
167.34,0.636687,1.83316,3.99426,6.27182,16.2384,32.3937,54.3999,86.8129
167.44,0.624971,1.82144,3.99701,6.26517,16.2384,32.3871,54.405,86.8449
167.54,0.610506,1.81833,3.98956,6.26242,16.2384,32.3898,54.41,86.8832
167.64,0.600373,1.81363,3.98254,6.2554,16.2482,32.3996,54.439,86.9222
167.74,0.600373,1.82535,3.98724,6.26987,16.2626,32.4227,54.4753,86.9582
167.84,0.607392,1.82535,4.00403,6.27377,16.2794,32.4348,54.4968,87.009
167.94,0.620269,1.83823,4.00714,6.27725,16.2876,32.4527,54.5147,87.0535
168.04,0.610505,1.83316,4.00208,6.27493,16.2853,32.4601,54.5436,87.0824
168.14,0.603485,1.83823,4.01184,6.2847,16.3068,32.4699,54.5534,87.1117
168.24,0.603486,1.83121,4.01184,6.28159,16.3068,32.4816,54.5796,87.1527
168.34,0.605073,1.84567,4.02319,6.28159,16.3212,32.5059,54.614,87.1816
168.44,0.617156,1.84958,4.02551,6.29837,16.338,32.5324,54.655,87.2152
168.54,0.617157,1.84488,4.03528,6.30344,16.3478,32.5519,54.6862,87.2465
168.64,0.612456,1.85464,4.03058,6.30618,16.3575,32.5617,54.7108,87.2691
168.74,0.595673,1.84018,4.01379,6.30618,16.3478,32.5617,54.7202,87.2883
168.84,0.605439,1.83316,4.03021,6.3179,16.3575,32.5687,54.7518,87.3148
168.94,0.605438,1.83627,4.03564,6.32101,16.3607,32.5746,54.7792,87.3277
169.04,0.605438,1.84097,4.03332,6.33078,16.3654,32.5988,54.8132,87.3539
169.14,0.610139,1.84256,4.03803,6.33511,16.3798,32.6199,54.8491,87.3715
169.24,0.624177,1.85464,4.05011,6.3472,16.3966,32.6418,54.871,87.4027
169.34,0.62027,1.85306,4.0462,6.35031,16.4095,32.6566,54.9128,87.4203
169.44,0.624969,1.85074,4.06067,6.36478,16.4142,32.6808,54.9636,87.4418
169.54,0.615205,1.84098,4.04779,6.36478,16.4161,32.6906,54.9979,87.4418
169.64,0.62967,1.84567,4.04779,6.37454,16.4306,32.7148,55.0433,87.468
169.74,0.631987,1.85934,4.05481,6.37454,16.4474,32.7433,55.08,87.4847
169.84,0.605439,1.84488,4.04505,6.37454,16.4474,32.7433,55.1011,87.4847
169.94,0.610137,1.85464,4.04974,6.37613,16.4716,32.7676,55.1257,87.4992
170.04,0.604279,1.84488,4.05676,6.3804,16.4786,32.7746,55.1616,87.516
170.14,0.615571,1.84329,4.05988,6.39328,16.4915,32.7972,55.2108,87.5336
170.24,0.621855,1.85269,4.07434,6.39798,16.5079,32.8168,55.2468,87.557
170.34,0.607391,1.84293,4.06964,6.39798,16.5079,32.8117,55.2792,87.557
170.44,0.607391,1.83981,4.06262,6.40775,16.513,32.8281,55.3179,87.5797
170.54,0.607391,1.84488,4.07239,6.41751,16.5157,32.8332,55.3397,87.5941
